question,option_a,option_b,option_c,option_d,answer,explanation,topic
"While at a monitoring visit, a CRA notes that the first three subjects enrolled in the trial were consented using an unapproved version of the ICF. One of the trial subjects has withdrawn from the trial and the other two subjects have only the end of trial visit left. The CRA should
1. document the issue within the monitoring report.
2. instruct the investigator to reconsent the active subjects with the current, approved ICF.
3. discuss with the investigator and have him decide if the subjects should sign a new consent.
4. recommend the site document their corrective action plan.","1, 2, and 3 only","1, 2, and 4 only","1, 3, and 4 only","2, 3, and 4 only",B,"ICH E6 4.4.1; E6 4.8.2
The following reasoning applies to these choices:
1. Document the issue in the Monitoring report – correct
2. Instruct the PI to re-consent active subjects with the correct consent – correct
3. Let the PI decide – incorrect. It is not up to the PI whether he uses a correct ICF.
4. Recommend the site document the corrective action plan – correct
Therefore, 1, 2 and 4 are correct, making option B the best answer.",Trial Management
"From the sponsor's initial receipt of information about an SAE that is serious, unexpected, considered related to the use of the drug but did not result in death and was not considered life-threatening, how long does the sponsor have to notify the regulatory authorities?",within 24 hours,within 7 calendar days,within 15 calendar days,within 30 calendar days,C,"ICH E2A III. B. 2
Serious, unexpected reactions (ADRs) that are not fatal or life- threatening must be filed as soon as possible but no later than 15 calendar days after first knowledge by the sponsor that the case meets the minimum criteria for expedited
reporting.",Trial Management
"A subject has a history of dermatitis. During visit 2 of the trial, the subject complained of a rash. The investigator interrupted the use of the IP and the rash disappeared. At the next visit, the IP was restarted. One day later, the rash reappeared. The investigator discontinued the subject from the trial.
The causality can be determined as probably related to the IP
based on",the placebo effect.,a positive rechallenge.,insufficient information.,the history of dermatitis.,B,"ICH E2A II.A.2
ICH E2A attachment 1 section 4 describes the collection of rechallenge information in regard to AEs.
Option A is incorrect as the placebo effect is the measurement of efficacy in a placebo. While the history of dermatitis may be thought of as explaining the rash, it is the rechallenge that helps to
establish this an IP effect.",Trial Management
"While reviewing data listings, a CRA notices a missing resolution date for an AE of sepsis for which the subject was hospitalized. After confirming that the date was not recorded on the AE page of the CRF, which of the following would the CRA consult next to find the missing information?",SAE report form,copy of the blood culture results,concomitant medication page of the CRF,laboratory hematology results page of the CRF,A,"ICH E6 5.18.4 (m)(iii); E6 1.50, . E6 1.51, E6 1.52
The subject was hospitalized for the AE of sepsis, meaning that this event met SAE criteria and there should be a corresponding SAE report form that would have the missing information recorded. If concomitant medications were given, they will not necessarily have the same end date as the event, and the blood culture and laboratory evidence of the sepsis may or may not have the same start and stop dates as the underlying event. This makes option A the best
answer.",Trial Management
"A CRA has discovered that the site has made corrections to a subject's source documents, which will require changes to the CRF. The CRF was transmitted to data management at a prior monitoring visit. Which of the following is the CRA's BEST course of action?","Ask the CRC to write an explanation, file a copy with the CRF, and submit a copy to data management.",Ask the CRC to make the necessary corrections to the site's copy of the CRF and transmit a copy of the corrected  CRF to data management.,"Ask the CRC to resolve and sign a data correction form, file a copy with the CRF, and submit to data management.",Ask Quality Assurance to conduct an audit of the site due to the changes in the source document.,C,"ICH E6 2.10; E6 5.18.1 (b); E6
5.18.4 (m)
Since the CRF has already been submitted, the CRF cannot be changed without a data correction form. It needs to be changed so the CRF matches the source documents, therefore the Data Change Form must be completed, which is option (C). A written explanation is not sufficient (A), and changing the site copy of the CRF without a Data Change Form is not allowed , eliminating option (B). There is no need to involve QA due to this issue, as indicated in
option (D).",Trial Management
"Which of the following are considered SAEs?
1. prolonged hospital stay due to post-surgical infection
2. pregnancy resulting in normal delivery of twins
3. myocardial infarction with stent placement
4. use of illicit drugs during the
trial",1 and 2 only,1 and 3 only,2 and 4 only,3 and 4 only,B,"ICH E6 1.50
Both options 1 and 3 include hospitalization or prolongation of hospitalization which is consistent with the ICH E2A IIB definition of serious. Options 2 and 4 are not included in the definition.",Trial Management
"A CRC informs the CRA by phone that a subject has lost his trial inhaler. Where should the CRA instruct the CRC to document the subject's loss of IP?
1. source document
2. subject identification log
3. CRF
4. drug accountability log",1 and 2 only,1 and 4 only,2 and 3 only,3 and 4 only,B,"ICH E6 1.5.2; E6 4.6.3
The site needs to maintain records of the IP distributed to the subject and received back from the subject. If a subject loses their IP, this information needs to be properly documented both in the source document and on the drug accountability log. The subject
identification log usually does",Trial Management
"A CRA is informed by a site that a trial subject called the site complaining of a generalized itchy rash all over her body. The PI has assessed the subject and administered a prohibited concomitant medication. Which of the following actions should the CRA recommend for the site?
1. Update the CRF.
2. Report this information to the IRB/IEC.
3. Notify the regulatory authority.
4. Instruct the subject to stop taking the prohibited medication.",1 and 2 only,1 and 4 only,2 and 3 only,3 and 4 only,A,"ICH E6 4.5.2, E6 4.9.1 E6 4.9.2
E6 5.18.4 (k),
The following reasoning applies to these choices:
1. Update the CRF – should be done to capture the AE
2. Report the information to the IRB/IEC – should be done per the IRB’s reporting requirements.
3. Notify the Regulatory Authority – the site does not do regulatory authority notification. This is a sponsor responsibility.
4. Instruct the subject to stop taking the medication – this is a safety risk to the subject and should not be done. Subject safety comes first.
Therefore 1 and 2 are the best
choices.",Trial Management
Which of the following is considered to be an SAE?,skin cancer,transient hypotension,treatment at an urgent care center,a congenital anomaly in a male subject's offspring,D,"ICH E6 1.50; E2A II.B
Comments: A congenital anomaly in a study subject’s offspring is an SAE regardless of whether the subject was male or female. Cancer used to be  an SAE but is no longer
considered one. The other two",Trial Management
"The activities required to close out a device trial have been completed: the CRA conducted the final close-out visit on site, the investigator reported the completion of the trial to the IRB/IEC, and the CRC returned all unused trial devices and unused CRFs to the trial sponsor. Which  of the following activities must be documented in the site's files before archiving?
1. documentation of the close-out visit
2. communication with the IRB/IEC
3. disposition of investigational devices
4. number of unused CRFs","1, 2, and 3 only","1, 2, and 4 only","1, 3, and 4 only","2, 3, and 4 only",A,"ICH E6 8.4.1, E6 8.4.5, E6 8.4.7,
E6 8.4.2
As per ICH E6 8.4.1, disposition of investigational devices needs to be completed and on file.
Under 8.4.7, a final report must be sent to the IRB/IEC and be on file. Under 8.4.2, documentation of destruction of unused IP should be on file. The number of unused CRFs is not required for the file.",Trial Management
"During the trial close-out visit, the CRA is reviewing the investigator's responsibility to retain source documents. Which of the following would be considered a source document?
1. x-ray report
2. final monitoring log
3. sheet of paper where procedure results were recorded
4. sponsor-designated form where ECG measurements were transcribed",1 and 2 only,1 and 3 only,2 and 4 only,3 and 4 only,B,"ICH E6 1.52, E6 5.18.4(m)
The following reasoning applies to these documents:
1. Subject x-ray is an original data source, therefore it is a source document.
2. Final monitoring log is not data generated for the study, so it is not a source document. It is a monitoring tool.
3. Sheet of paper where procedure results were recorded. The first place data is recorded is the source document; therefore any paper
containing the data where it",Trial Management
"If a marketing application is not approved by the regulatory authority and the project is discontinued, the investigator must retain the trial records for how many years?",2,5,15,indefinitely,A,"ICH E6 4.9.5
ICH E6 4.9.5 specifies that records must be kept for two years following the formal discontinuation of a clinical program. Other entities may require a longer retention period, but ICH specifies a
minimum of two years.",Trial Management
"A CRA calls a site to confirm the scheduled close-out visit. The site CRC explains that the PI now plans to be out of town that day, but the CRC believes that most of the trial files will be available for this visit. Which of the following is the BEST action for the CRA to take?",Reschedule the visit for a day when all files and the PI are available.,Review the available files and conduct a follow-up visit with the PI.,Conduct this visit as planned and document attendees in the close-out report.,Instruct the CRC that all files must be available and review the PI obligations with a sub- investigator.,A,"ICH E6 8.4.5
As per ICH E6 8.4.5, the closeout report documents that all closeout activities are complete and that all essential documents are held in the appropriate file. Since the CRA has been advised in advance of the PI absence, and it is important that the PI and files are present at the closeout, option “A” would be best to reschedule.
Option “B” is not feasible as the closeout visit should not be multiple visits.
Option “C” is not feasible",Trial Management
"Which of the following activities should the CRA perform when reconciling an SAE Report with the CRF?
1. Ensure causal relationship assessment is the same on the SAE report as the AE CRF.
2. Verify the investigator agreement lists the hospital where the subject was treated.
3. Submit initial and any follow-up SAE reports to the IRB/IEC.
4. Confirm medications in SAE- related medical records are recorded on the CRF.",1 and 3 only,1 and 4 only,2 and 3 only,2 and 4 only,B,"ICH E6 4.9.2, E6 4.11, E6
5.18.1(b), E6 5.18.4
ICH E6 5.18.4 states that the monitor should ensure the CRF is complete and accurate, and is in agreement with source documents and other related trial documents.
(2) is wrong because investigator agreements are device specific; also SAEs are independent of where the subject was treated.
(3) CRAs do not submit to the IRB/IEC.",Trial Management
"Which of the following documents are required to be present in the investigator's trial files at the end of the trial?
1. subject enrollment logs
2. IP certificate of analysis
3. sample of labels affixed to IP containers
4. investigator notification of new IP safety information",1 and 3 only,1 and 4 only,2 and 3 only,2 and 4 only,B,"ICH E6 8.3.22; E6 8.2.16; E6
8.2.13; E6 8.3.18
ICH E6 Section 8 specifies that the IP certificate of analysis and the sample of labels affixed to IP containers must be filed in the sponsor’s files only. The subject enrollment log is required to be filed in the investigator’s files. Both the investigator and the sponsor are required to file investigator
notifications of new IP safety",Trial Management
"A CRC reports discovering records in the site's storage area from a trial that closed 4 years ago.
Based on the ICH Guidelines regarding trial record retention, which of the following should occur?",The sponsor will notify the site after 2 years with record disposition information.,The site personnel will contact the IRB/IEC to request permission to dispose of the records.,The site will forward the trial records to the regulatory document manager of the CRO.,The sponsor will contact the site when record retention is no longer required.,D,"ICH E6 4.9.5
ICH E6 4.9.5 specifies that records must be kept for two years following the final marketing approval in an ICH region, or for two years following the formal discontinuation of a clinical program when no additional marketing applications are anticipated. The clinical program typically includes a number of individual clinical trials, and the investigator will likely not have participated in all of them. Therefore, in practice, an investigator may not know the status of the sponsor’s clinical program and so would not know when their record retention obligations under ICH had been met. The investigator in this case is dependent upon the sponsor to notify the site when records retention is no longer required according to the status of their
clinical program.",Trial Management
A subject is participating in a clinical trial where only the pharmacist and the sponsor know the identity of the IP. The pharmacist has no direct contact with the trial subject and the clinical team. Which of the following BEST describes this trial type?,open-label,single-blind,double-blind,triple-blind,C,"ICH E6 1.10; E8 3.2.2.5(b)
An open-label study occurs when both the PI and the subjects know what treatment is being administered. A single- blind study is one where the treatment assignment is not known by the subject. A double-blind study is one where both the subject and the PI/CRC are unaware of the treatment assignments. A triple-blind study is one where not only are the subject and PI/CRC unaware of the treatment assignment, but external parties such as the pharmacist are also unaware.
In this question, the pharmacist and the sponsor know the identity of the IP, but the subject and PI/CRC do not, so it is a double-blind study.",Trial Oversight
A clinical trial is being conducted to determine the safety and tolerability of a new anti-emetic IP. The sponsor expects to enroll 20 subjects. This would be considered a,Phase I trial.,Phase II trial.,Phase III trial.,Phase IV trial.,A,"ICH E8 3.1.3.1; ICH E8 3.2.2
The primary objective of a Phase I study is to assess the initial safety and tolerability of a new IP, and/or the IP’s pharmacokinetics, and/or the IP’s pharmacodynamics, and possibly potential therapeutic benefit as a secondary endpoint. The primary objective of a Phase II study is to explore therapeutic efficacy. The primary objective of a Phase III study is to demonstrate, or confirm therapeutic benefit. The
primary objective of a Phase IV",Trial Oversight
"Which of the following scenarios are considered SAEs?
1. infection following surgery prolonging hospital stay
2. pregnancy resulting in normal delivery of twins
3. boating accident with overnight hospitalization
4. use of illicit drug during the trial",1 and 3 only,1 and 4 only,2 and 3 only,2 and 4 only,A,"ICH E6 1.50; E2A
Both options 1 and 3 include hospitalization or prolongation of hospitalization which is consistent with the ICH E2A IIB definition of serious. Options 2 and 4 are not included in the definition.",Trial Oversight
"A subject in a Phase I oncology trial experiences nausea with vomiting after IP infusion which results in an inpatient hospitalization. Nausea with vomiting does not appear in the Investigator's Brochure. The investigator should rate this event
as",expected and serious.,expected and not serious.,unexpected and serious.,unexpected and not serious.,C,"ICH E2A II. E2A A.3, E2A II.B, E2A III.A.1
As per ICH E2A IIB,
hospitalization is defined as serious.
As per E2A IIA3, if the events are not listed in the IB, the events are considered unexpected.",Trial Oversight
"Which of the following are responsibilities of an IDMC/DSMB?
1. assess the financial aspects of a trial
2. assess the progress of a trial
3. recommend initiating a trial
4. recommend stopping a trial",1 and 3 only,1 and 4 only,2 and 3 only,2 and 4 only,D,"ICH E6 1.25; E6 5.5.2
The role of the IDMC/DSMB is to assess the progress of a clinical trial, the safety data, and the critical efficacy endpoints, and to recommend to the sponsor whether to continue, modify, or stop a trial. Financial aspects of a trial
are agreed to between the",Trial Oversight
"A sponsor/investigator (investigator-initiated research) expands a trial from a single site to four trial sites in different areas of the country. The sponsor/investigator should do which of the following?
1. Monitor compliance with GCP.
2. Report AEs to the sites.
3. Keep investigators informed of new findings.
4. Update investigators regarding subject recruitment.",1 and 3 only,1 and 4 only,2 and 3 only,2 and 4 only,A,"ICH E6 5.18.1(c), E6 5.16.
1 and 3 are the best options, making option A correct. As an investigator, AEs must be reported to the IRB/IEC. It is likely that as the sponsor, the investigator would include incidents of AEs as investigators were informed of new findings. Because Staement #2 is part of Statement #3, it is not correct by itself. As the sponsor, the investigator is responsible for reporting findings that could affect adversely the safety of subjects, impact the conduct of the trial, or alter the IRB/IEC's approval/favorable opinion to
continue the trial.",Trial Oversight
"The protocol and protocol summary have been submitted to a central IRB/IEC for review/approval by the CRO prior to the investigators' meeting.
Following the meeting, the entry criteria are altered to facilitate the recruitment and retention of eligible subjects. Prior to trial start-up, the regulatory binder must include
1. an IRB/IEC letter of approval for the amended protocol.
2. an IRB/IEC site evaluation form.
3. the amended protocol.
4. the Investigator's Brochure.","1, 2, and 3 only","1, 2, and 4 only","1, 3, and 4 only","2, 3, and 4 only",C,"ICH E6 4.4; E6 4.5.2; E64.9.4; E6 8.2.7
Options 1, 3 and 4 meet the requirements of E6 4.4.1 which states the investigator/institution should have written and dated approval/favorable opinion from the IRB/IEC for the trial protocol, written informed consent form, consent form updates, subject recruitment procedures (e.g., advertisements), and any other written information to be provided to subjects.
Option 2 – site/investigator selection is a sponsor
responsibility, not IRB/IEC.",Trial Oversight
"Which section of the clinical research protocol involves the roles, responsibilities, and obligations of the investigator?",Protocol review,Significant Risk/Non Significant Medical Device study determination,Investigator's Roles and Responsibilities,Sponsor's Roles and Responsibilities,C,"The section 'Investigator's Roles and Responsibilities' specifically outlines the roles, responsibilities, and obligations of the investigator in a clinical trial, including study conduct, protocol development, subject recruitment, and documentation. This section is crucial for ensuring the proper execution of the study at the investigational site.",SOCRA
What is the main emphasis of current regulations and clinical trial practices according to the passage?,Protection of human subjects,Maximizing profits for sponsors,Minimizing paperwork for investigators,Speeding up the drug approval process,A,"The passage highlights that the main emphasis of current regulations and clinical trial practices is the protection of human subjects, as reflected in the weight given to Ethical Principles/Informed Consent/Safety in the exams.",SOCRA
Which document was the first to outline professional ethics for clinical research?,Nuremberg Code,Declaration of Helsinki,Belmont Report,National Research Act,A,"The Nuremberg Code, developed in the 1950s, was the first set of principles outlining professional ethics for clinical research. It has served as a model for subsequent codes and regulations in the field.",SOCRA
Which principle of the Belmont Report emphasizes the importance of equality in research conduct?,Respect for Persons,Beneficence,Justice,Informed Consent,C,"The principle of Justice in the Belmont Report requires equality in research conduct, ensuring that burdens and benefits are shared fairly among participants. This principle focuses on the fair treatment of all individuals involved in research, emphasizing the importance of avoiding exploitation and ensuring that no group bears disproportionate risks for the benefit of others.",SOCRA
Which of the following is NOT listed as one of the basic elements of informed consent according to 21 CFR 50.25?,Description of any benefits,Disclosure of appropriate alternative procedures,Explanation of potential compensation for participation,Statement that participation is voluntary,C,"21 CFR 50.25 lists the basic elements of informed consent, including a description of any benefits, disclosure of appropriate alternative procedures, and a statement that participation is voluntary. However, the regulation does not specifically mention an explanation of potential compensation for participation as one of the basic elements.",SOCRA
"What is required to be included in informed consent documents for applicable clinical trials started on or after March 7, 2012?",A statement on trial's description on www.ClinicalTrials.gov,A statement identifying the subjects,A summary of the results of the trial,A detailed list of all state laws related to clinical trials,A,"For applicable clinical trials started on or after March 7, 2012, informed consent documents must include a specific statement on the trial's description on www.ClinicalTrials.gov. This statement allows investigators to inform participants that trial information is available on the website.",SOCRA
In which situation may an investigator use a short form consent document?,When the participant is unable to read or write,When the research involves minimal risk,When the research is industry-sponsored,When the research is conducted in multiple countries,A,"A short form consent document can be used when the participant is unable to read or write, as it allows for the oral presentation of the required elements of informed consent to be understood by the participant or their legally authorized representative.",SOCRA
When should the long form consent document be used?,When the potential subject does not understand English,When the window of opportunity for research participation is brief,Whenever possible,Only when the IRB approves its usage,C,"The passage states that the long form consent document should be used whenever possible, as it lists all required elements of informed consent and spells out in writing all that is orally presented when the short form is used.",SOCRA
What should be done if the IRB approves a revised consent form to replace a previous consent form?,Continue using the previous consent form,Destroy the previous consent form,Re-consent subjects who signed the prior version,Ignore the IRB approval,C,"When the IRB approves a revised consent form to replace a previous consent form, re-consenting subjects who signed the prior version of the informed consent form may be needed to ensure compliance and proper documentation.",SOCRA
"During site monitoring visits, what is the purpose of Source Data Verification (SDV) and Source Data Review (SDR) conducted by a Clinical Research Associate (CRA)?",To ensure subjects' protection and data accuracy,To conduct safety reporting and financial disclosure,To review protocol compliance and vulnerable subjects,To verify informed consent and review medical charts,A,Source Data Verification (SDV) and Source Data Review (SDR) are important areas of focus during site monitoring visits conducted by a Clinical Research Associate (CRA) to ensure subjects' protection and that information and trial results are being recorded properly and accurately.,SOCRA
What is one consideration when reviewing adverse events (AEs) on the Case Report Form (CRF)?,Ensure that AEs are only recorded on the CRF.,"Check that responsible person assessed AEs for seriousness, causality, and expectedness.",Record AEs on the CRF without any source documentation.,Do not document AEs in the patient's medical records.,B,"When reviewing adverse events (AEs) on the Case Report Form (CRF), it is important to check that the responsible person (investigator or designee) has assessed AEs for seriousness, causality, and expectedness. This ensures proper evaluation and documentation of AEs in accordance with protocol requirements.",SOCRA
Which of the following is NOT a criterion for defining a serious adverse event (SAE)?,Results in death,Requires outpatient clinic visit,Is life threatening,Results in persistent disability/incapacity,B,"An SAE does not include events that require only outpatient clinic visits, as it specifically mentions inpatient hospitalization or prolongation of existing hospitalization as a criterion.",SOCRA
What is the deadline for an investigator to report any unanticipated adverse device effect (UADE) to the sponsor and IRB?,Within 5 working days,Within 10 working days,Within 15 working days,Within 20 working days,B,"According to 21 CFR 812.150, an investigator must report any UADE to the sponsor and IRB as soon as possible, but in no event later than 10 working days after the investigator first learns of the effect.",SOCRA
Which of the following conditions must be met for pregnant women or fetuses to be involved in clinical research?,The risk to the fetus must result in direct benefit for the woman or the fetus.,The risk to the fetus must be greater than minimal.,Consent from the pregnant woman and the father is not required.,Appropriate studies on animals and non-pregnant women have not been done.,A,"According to the passage, one of the conditions that must be met for pregnant women or fetuses to be involved in clinical research is that the risk to the fetus may result in direct benefit for the woman or the fetus.",SOCRA
"According to 45 CFR 46.407, research involving children must:",Be approvable by the IRB,"Present an opportunity to understand, prevent, or alleviate a serious problem affecting children's health or welfare",Be conducted without any ethical considerations,Not require consent from parents or legally authorized representatives,B,"According to 45 CFR 46.407, research involving children must present an opportunity to understand, prevent, or alleviate a serious problem affecting children's health or welfare in order to be considered for approval. This ensures that the research is aimed at addressing significant issues affecting children's well-being.",SOCRA
"In clinical research involving children, when is the appointment of an advocate required by the IRB?",When there is direct benefit to the child participant,When there is potential risk to the child participant,When the child is a ward,When the child's parents are unavailable,B,"The appointment of an advocate is required by the IRB when there is potential risk to the individual child participant in clinical research involving children, to protect the child's interests.",SOCRA
What is one of the ways a sponsor may provide an investigator's financial disclosure?,"Certification that no financial interests exist (FDA Form 3454, Certification)",Complete disclosure statement using FDA Form 3455. Disclosure Statement,Certification that financial disclosure was not obtained after sponsor's due diligence (option 3 on FDA Form 3454),Disclosable Financial Interests and Arrangements,A,"According to the passage, one of the ways a sponsor may provide an investigator's financial disclosure is by certifying that no financial interests exist using FDA Form 3454, Certification.",SOCRA
What is the primary goal of an Institutional Review Board (IRB) or Ethics Review Committee (ERC) in clinical trials?,To ensure the accuracy of study data,To protect the rights and safety of human subjects,To expedite the approval process for clinical trials,To maximize profits for the sponsoring institution,B,The primary goal of an IRB or ERC in clinical trials is to protect the rights and safety of human subjects who participate in the trials. This includes ensuring ethical conduct and safeguarding the well-being of the participants.,SOCRA
What is a key responsibility of an IRB committee in relation to vulnerable populations?,Ensuring risks are maximized for anticipated benefits,Selecting subjects based on financial status,Paying special attention when research involves vulnerable populations,Ignoring vulnerable populations in research considerations,C,"According to the passage, an IRB committee should pay special attention when the research involves vulnerable populations, such as children, prisoners, pregnant women, mentally disabled persons, or economically or educationally disadvantaged persons.",SOCRA
Which regulation specifies the requirements for informed consent and documentation in clinical research?,45 CFR 46.116 and 45 CFR 46.117,21 CFR 50.25 and 21 CFR 50.27,21 CFR 56.108,21 CFR 56.108(al),B,"Informed consent requirements in clinical research are specified in 21 CFR 50.25 and 21 CFR 50.27, as mentioned in the passage.",SOCRA
Which of the following is NOT a requirement for an IRB regarding informed consent?,Require documentation of informed consent in accordance with 21 CFR 50.27,Notify investigators and the institution in writing of its decision,Conduct continuing review of research at intervals appropriate to the degree of risk,Provide a copy of publicly disclosed information to the sponsor of research involving an exception to informed consent,D,"The correct answer is D. While an IRB is required to provide a copy of publicly disclosed information to the sponsor of research involving an exception to informed consent, it is not a direct requirement related to informed consent itself. The other options directly relate to informed consent requirements as outlined in the passage.",SOCRA
What is NOT included in the items that should be reviewed in an IRB application from investigator(s)?,Purpose of the research,Time required for participation,Method of advertising and the content of the advertising,Number of study participants,D,"The number of study participants is not explicitly mentioned as one of the items that should be included in an IRB application for review. The passage lists various components such as purpose of the research, time required for participation, method of advertising, etc., but does not mention the specific number of study participants.",SOCRA
Who can disapprove a research under expedited review procedure?,IRB chairperson,One or more experienced reviewers,All IRB members,Non-expedited reviewers,D,"According to the passage, the reviewers under expedited review procedure may exercise all authorities of the IRB but may not disapprove the research. Disapproval of research can only be done with the non-expedited review procedure.",SOCRA
"According to FDA 21 CFR 812.31ml, which of the following criteria defines a device as a significant risk (SR) device?","Is intended for a use of substantial importance in diagnosing, curing, mitigating, or treating disease",Is for a use supporting or sustaining human life,"Is for a use that presents a potential for serious risk to the health, safety, or welfare of a subject","Is for a use that does not present any risk to the health, safety, or welfare of a subject",C,"According to FDA 21 CFR 812.31ml, a significant risk (SR) device is defined as a device that is for a use that presents a potential for serious risk to the health, safety, or welfare of a subject.",SOCRA
Which of the following is NOT a characteristic of an IDE exempt study according to FDA 21 CFR 812.2(cl)?,"Device in commercial distribution on or before May 28, 1976",Diagnostic device requiring invasive sampling procedure,Device intended solely for veterinary use,Custom device being used to determine safety or effectiveness for commercial distribution,B,"An IDE exempt study under FDA 21 CFR 812.2(cl) involves noninvasive diagnostic devices that do not require invasive sampling procedures presenting significant risk. Therefore, option B, 'Diagnostic device requiring invasive sampling procedure,' is NOT a characteristic of an IDE exempt study.",SOCRA
Which of the following is NOT required to be documented by an IRB according to 21 CFR 56.115?,Approved sample consent documents,Records of continuing review activities,Financial disclosures of investigators,Minutes of IRB meetings showing attendance and actions taken,C,"According to 21 CFR 56.115, IRBs are required to document various activities, including approved sample consent documents, records of continuing review activities, and minutes of IRB meetings. However, financial disclosures of investigators are not explicitly mentioned in the list of required documentation.",SOCRA
"According to 21 CFR 56.115(b), how long should IRB records be retained after completion of the research?",One year,Two years,Three years,Four years,C,21 CFR 56.115(b) requires that IRB records be retained for at least three years after completion of the research to ensure accessibility for inspection and copying by authorized representatives of the FDA.,SOCRA
Which of the following should be included in the general information section of a clinical trial protocol?,Estimated duration of the study and maximum number of subjects,Clinical uses to be investigated and characteristics of subjects,Name and address of the sponsor and monitor,Kind of clinical observations and laboratory tests to be conducted,C,"The general information section of a clinical trial protocol should include details such as the name and address of the sponsor and monitor, among other key information.",SOCRA
Where is the Protocol Summary commonly placed in a clinical trial protocol?,At the end of the protocol,Right after the title page and general information pages,In the middle of the protocol,At the beginning of the protocol,B,The Protocol Summary is commonly placed right after the title page and general information pages to provide an overview of the study.,SOCRA
What is the main benefit of a crossover study in clinical research?,Requires fewer subjects,Allows for comparison between treatment arms,Reduces variability in outcomes,Shortens the duration of the study,A,"The main benefit of a crossover study is that each subject can serve as their own control, which often requires fewer subjects compared to other study designs.",SOCRA
"Which blinding method involves blinding the sponsor, investigator and staff, and the subjects?",Triple blind,Double blind,Single blind,Open label,A,"Triple blind is the blinding method where the sponsor, investigator and staff, and the subjects are all blinded from knowing the treatment assignment. This comprehensive blinding approach helps to reduce bias in clinical trials by ensuring that multiple parties involved in the study are unaware of the treatment allocations.",SOCRA
Why is randomization often done in blocks in clinical trials?,To ensure that subjects receive preferential treatment assignment,To ensure that the blinding is maintained throughout the study,To allow for early termination of the study without affecting subject distribution,To ensure even subject distribution in case of early termination of the study,D,"Randomization in blocks is done to ensure even subject distribution in the case that the study has to be terminated early. This method helps maintain balance in the allocation of subjects between different treatment arms, ensuring that the results remain valid even if the study ends prematurely.",SOCRA
Which type of control may be used in cases where other control options are not available or practical?,Standard Care,Placebo,Historical Control,Double-blind,C,"Historical Control may be used in cases where other control options are not available or practical, utilizing prior data from similar patients with the same disease or data from the same patient in a crossover study.",SOCRA
Which of the following is NOT recommended by the ICH GCP guideline for the 'Selection and Withdrawal of Subjects' section?,Inclusion criteria,Exclusion criteria,Withdrawal criteria,Follow-up for subjects who complete the trial,D,"The ICH GCP guideline recommends including inclusion criteria, exclusion criteria, and withdrawal criteria in the 'Selection and Withdrawal of Subjects' section. However, specifying the follow-up for subjects who complete the trial is typically covered in a different section, such as the 'Follow-up Procedures' or 'Study Completion' section.",SOCRA
Which of the following is NOT a common safety procedure in a clinical trial?,Physical examination,Vital signs,Electrocardiograms (ECG),Pharmacokinetics (PK) Procedures,D,"Pharmacokinetics (PK) Procedures are not typically considered safety procedures in a clinical trial. They are related to the study of how the body processes a drug, including absorption, distribution, metabolism, and excretion.",SOCRA
What is the purpose of a Data Safety Monitoring Board (DSMB) in clinical research?,To review research data for subject safety and data validity,To conduct study procedures and collect adverse events data,To oversee the trial progress and ensure protocol compliance,To analyze safety parameters and report adverse events to authorities,A,"The primary purpose of a Data Safety Monitoring Board (DSMB) is to review research data to ensure subject safety and data validity, as mentioned in the passage. The DSMB plays a crucial role in monitoring the safety of subjects and the accuracy of data in clinical trials.",SOCRA
Which of the following is NOT included in the statistics section recommended by ICH GCP guidelines for a clinical trial protocol?,Statistical methods to be employed,Number of subjects planned to be enrolled,Procedures for eliciting reports of adverse events,Criteria for the termination of the trial,C,"The statistics section in a clinical trial protocol, as recommended by ICH GCP guidelines, focuses on statistical methods, sample size, significance level, termination criteria, data handling, reporting deviations, and subject selection criteria. Eliciting reports of adverse events is part of safety monitoring and reporting, not the statistics section.",SOCRA
Which section of the protocol may contain information on ethical assurance for protection of human rights?,"Data recording, handling, and record keeping",Administrative Considerations,References,Protocol Amendments,B,"The section on Administrative Considerations commonly includes topics such as ethical assurance for protection of human rights, publication rights, and financing and insurance.",SOCRA
"According to FDA 21 CFR 312.3, who is defined as an Investigator?",The individual who develops the original protocol,The leader of the team conducting the clinical investigation,Any member of the team conducting the clinical investigation,The person administering or dispensing the drug to the subject,D,"According to FDA 21 CFR 312.3, an Investigator is defined as the individual who actually conducts a clinical investigation, i.e., the person under whose immediate direction the drug is administered or dispensed to a subject.",SOCRA
"Who is responsible for ensuring that a clinical trial is conducted according to the signed investigator statement, investigational plan, and applicable regulations?",Study coordinators,Research nurses,Investigators or co-investigators,Subinvestigators,C,"According to the passage, the primary responsibility of ensuring that a clinical trial is conducted according to the signed investigator statement, investigational plan, and applicable regulations lies with the investigator or all co-investigators involved in the trial.",SOCRA
What is the primary document used for an Investigator to agree to conduct a study according to FDA regulations?,FDA form 1572,Investigator Agreement,Protocol,IRB Approval,B,"An Investigator Agreement is used for an Investigator to agree to conduct a study according to FDA regulations, as mentioned in the passage.",SOCRA
"According to FDA regulations, who is responsible for ensuring that each new version of informed consent form and recruiting materials are reviewed and approved by the IRB prior to use?",Sponsor,Investigator,FDA,Clinical Research Coordinator,B,"According to the passage, it is the investigator's responsibility to ensure that each new version of informed consent form and recruiting materials are reviewed and approved by the IRB prior to use.",SOCRA
